Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
0.3,1.02,1.27,21.67,20.67,33.33,10.33,1.33,40.34,23.5,35
0.3,1.1,0.72,10,12.84,23.33,5.67,1,24.66,25.33,11.67
0.3,1.17,0.33,15,18.33,25,11.17,1.83,35.46,20.83,23.33
0.3,1.22,1.02,11.67,16,20,6.67,2,30.83,22.33,30
0.3,1.22,1.61,13.33,18.16,23.33,6.83,2.33,37.83,22.67,28.33
0.3,1.73,2.43,33.33,19.66,30,20.83,2.83,37,36.67,36.67
0.32,0.8,1.63,5,16.5,23.33,13.17,1.83,29.5,18.17,18.33
0.32,0.93,1.1,21.66,21.67,33.33,13,1.5,38.5,27.83,31.67
0.32,1.05,0.78,13.33,11.17,21.67,9.83,1,41.66,21,21.67
0.32,1.07,1.18,10,15.33,25,6,1,38.5,21.5,25
0.32,1.08,2.4,18.34,15.66,31.66,6.83,2.67,28.17,16.83,13.33
0.32,1.09,2.25,8.33,13.5,25,11.67,2.17,40.66,14,21.67
0.32,1.15,1.02,6.66,11,23.33,13,1,40.83,17.5,28.33
0.32,1.32,0.43,18.34,20.66,30,9.83,2.33,37.5,27.83,35
0.32,1.7,2.35,45,18.84,26.66,17.67,2.33,35.67,42.67,45
0.32,2.13,0.65,38.33,22,30,20.5,2,36.33,39,45
0.33,0.78,0.35,11.66,17.67,26.67,12.17,1,35.83,21.17,26.67
0.33,0.78,1.08,15,10.84,23.33,12.5,3.67,36.83,25.67,15
0.33,0.8,1.25,11.67,18.5,23.33,10.33,1.33,32.16,18.17,35
0.33,0.87,0.3,15,12,25,9.67,1,39.33,17,30
0.33,0.91,1.08,15,17,25,6.17,1.17,31.16,15.17,25
0.33,0.92,1.09,11.66,14,25,13.33,2.17,36.67,33.33,25
0.33,0.95,1.34,11.66,13.17,28.33,8.33,4,26.17,23.33,13.33
0.33,0.95,2.71,11.66,15.34,26.67,14,3.5,39.66,17.17,25
0.33,1.04,0.87,23.33,22.16,30,8,1.5,33.67,22.67,30
0.33,1.09,1.63,8.33,16.16,30,6,1.83,40,15.83,11.67
0.33,1.09,1.82,18.34,15.34,35,7.33,4.33,34.5,20.67,18.33
0.33,1.18,0.3,18.34,18.5,26.67,9.17,2,37.46,21.67,26.67
0.33,1.19,3.12,21.66,19.17,31.66,8.67,3.67,40.34,24.67,21.67
0.33,1.24,0.4,10,13.17,23.33,6,1,41.67,22,38.33
0.33,1.33,0.59,15,18.67,21.67,8,2.5,35,27.17,35
0.35,0.77,1.1,13.33,17.5,23.34,10,3,37.5,23.5,28.33
0.35,0.79,0.78,18.33,13.33,20,7.67,1.67,35,31.33,18.33
0.35,0.86,1.1,13.33,15,23.33,9.67,1.5,41.33,19,25
0.35,1.07,1.73,21.67,18.16,31.66,9.33,4.83,39.5,26.83,18.33
0.35,1.1,1.38,18.33,27,36.67,7.17,6,34.74,19.83,18.33
0.35,1.35,2.05,11.67,14.16,35,7.17,6.5,38.34,18.5,15
0.35,2.08,0.93,35,15.83,23.34,14.5,1.67,32.34,35.67,41.67
0.37,0.73,1.62,13.33,13.5,26.67,16,4.17,41.17,25.17,18.33
0.37,0.75,0.82,8.33,15.5,20,6.5,3.17,26.67,21.83,20
0.37,0.81,1.28,13.33,16.66,30,8,1.17,34,21,26.67
0.37,0.86,1.56,20,16.83,23.33,8.83,2.5,37.83,26.83,23.33
0.37,1.05,1.3,11.67,14.5,25,5.33,0.83,39,13.83,10
0.37,1.08,2.52,8.33,13,23.33,13,1.33,32.83,21,26.67
0.37,1.1,1.05,21.66,21.5,30,14.17,2,33.84,27,30
0.37,1.18,0.17,11.67,20.67,21.67,10,3,20.67,22.17,38.33
0.37,1.69,0.94,43.33,34.66,41.67,16.83,3.17,39.66,53,40
0.37,2.82,0.8,46.66,20.83,30,18.83,2.5,35.33,48.83,45
0.38,0.89,0.4,21.66,22.83,28.33,11,2.67,33.5,26.5,31.67
0.38,0.98,2.52,6.66,16.16,26.67,5.33,2.33,36.84,17.67,18.33
0.38,1.04,0.6,6.66,12.67,23.33,5.33,1.5,31.5,17.83,15
0.38,1.09,2.13,10,12.83,25,11.83,2.5,36.34,14.83,21.67
0.38,1.35,2.58,13.33,12.5,30,6.83,3.33,36.67,17,18.33
0.38,2.13,1.26,38.33,40.83,45,19.83,3.33,18,51.5,40
0.4,0.99,2.2,8.33,20.83,26.67,5.17,2.5,39.5,14.33,15
0.4,1,0.72,13.33,14.67,18.33,10.33,2.33,36.5,24,31.67
0.4,1.02,1.39,13.33,15.83,20,9.5,3.17,32.33,26.33,38.33
0.4,1.38,0,13.33,13,31.66,8,1.5,35.34,23.5,36.67
0.4,1.44,2.88,45,35.34,55,15.17,4.83,32.33,47,28.33
0.4,1.59,2.55,40,22,35,18.17,1.83,41,43.5,41.67
0.4,1.68,0.6,40,22.84,31.67,13.67,1.83,35.33,46.5,38.33
0.4,2.36,0.57,36.67,23.5,40,20,2.67,39.5,40.5,35
0.42,0.89,1.22,15,17.67,26.67,8,4.33,33.83,27.5,16.67
0.42,0.98,0.18,18.34,19.16,23.33,10,2.17,29.5,23.5,28.33
0.42,0.99,2.32,10,16.84,28.34,5.5,1.67,40.83,16,13.33
0.42,1.59,0.97,50,39.83,43.33,17.67,3.17,19.33,57.67,51.67
0.42,2.06,1.06,43.33,22.33,35,18.33,4.83,38.5,48.33,41.67
0.43,0.82,1.07,13.33,12.5,18.33,9.83,1.17,34.5,23.33,21.67
0.43,0.88,0.79,23.34,19.5,36.67,13.17,1.5,41.17,27.17,31.67
0.43,0.97,0.23,16.67,20.33,25,9.67,2.67,36.33,22.5,30
0.43,1,1.4,13.33,13,18.33,11.17,2.33,39,24.33,38.33
0.43,1.09,2.85,13.33,14.83,31.66,7.33,3,34,21,18.33
0.43,1.22,1.33,8.33,11.66,25,6.5,2.5,31.33,20.83,16.67
0.43,1.24,1.22,10,11.83,23.33,7.83,0.83,35.84,21.17,28.33
0.43,1.24,1.4,15,20.33,26.67,6.5,0.83,35.34,24.83,40
0.43,1.33,0.85,23.33,18.66,28.34,19.33,2,39.5,30.5,25
0.43,1.42,0.93,20,27.17,31.66,17.83,3,33.33,27.5,25
0.43,1.49,2.05,60,75.17,80,28.5,5,28.17,65.33,53.33
0.43,1.56,1.73,40,26.5,30,16.17,2,33.84,40.5,48.33
0.44,1.44,1.39,31.67,30.83,35,13.17,4.33,31.83,31.83,26.67
0.45,0.75,1.95,6.66,16.16,23.33,5.67,3.12,28.17,14.17,13.33
0.45,0.9,2.75,8.33,9.33,26.67,12,3.33,40.66,22.17,28.33
0.45,0.97,0.83,21.66,20.33,33.33,12.67,2,38.5,30.17,40
0.45,1.23,2.25,11.67,14.33,21.67,6.5,1.5,37.33,26.83,36.67
0.45,1.37,0.64,15,13.83,28.34,7.83,1.33,33,24.5,30
0.45,2.19,1.15,50,25.67,33.34,18.33,3.17,37.33,53.33,53.33
0.47,0.78,0.4,15,19.17,21.67,9,1.17,36.17,18.83,33.33
0.47,0.88,2.2,15,18.33,26.67,15.67,7,37.67,26.5,13.33
0.47,0.94,0.21,20,11.84,30,11.67,1.17,36.5,22.67,36.67
0.47,1.24,1.55,11.67,18.5,26.67,6.17,1.17,35.17,23.83,33.33
0.47,1.31,1.15,23.33,15.67,30,17.5,1.5,40.67,31.17,28.33
0.47,1.35,0.9,18.34,18.17,33.33,8.33,1.17,38,29.17,36.67
0.47,1.6,0.58,25,26.17,35,18,3.33,33,30.33,31.67
0.47,2.52,0.23,48.33,31.17,35,16,2.5,40.67,49.33,50
0.48,1,2.51,6.66,11,23.33,14.17,2.17,37.5,21,23.33
0.48,1.22,1.76,11.66,17.5,21.67,6.5,2,32,26.5,33.33
0.48,1.24,1.87,8.33,14.5,20,6,1,27.17,24.33,35
0.48,1.38,0,16.67,10.5,31.66,10,1,38.84,22,26.67
0.48,1.6,0,20,16,26.67,18,1.17,37.83,29.5,23.33
0.49,1.9,2.5,38.34,4.67,33.33,17.17,2,32.67,37,33.33
0.5,0.79,0.66,8.33,13.5,23.33,7.67,4,31.33,15,11.67
0.5,1.44,1.97,30,20.67,33.33,12.33,4.17,30.33,32.33,28.33
0.5,2.21,0.99,38.33,27,28.33,21,2.17,38.66,40.33,43.33
0.52,0.96,0.97,20,14.33,26.67,7.5,3.67,35.16,19.83,11.67
0.52,1.07,0.82,25,33.17,31.67,18,3.5,32.83,27.67,23.33
0.52,1.21,2.73,18.34,14.5,28.34,7.5,3.67,39.17,26.83,20
0.52,1.32,0.69,18.34,19.33,25,9,2.17,39.84,23.67,23.33
0.52,1.35,2.45,11.67,14.34,28.34,6.67,3.67,32.84,18,13.33
0.52,1.61,0.66,21.66,13.17,30,17.83,1.17,38,25.33,26.67
0.52,2.11,1.85,41.67,42.34,48.33,19.67,3.5,39.84,48,51.67
0.52,2.27,2.27,38.33,27.34,36.67,14.5,3.33,40.83,44.17,36.67
0.53,0.95,0.85,21.67,15.16,30,11.67,1,33.67,22.83,21.67
0.53,0.97,0.48,13.33,16.67,25,9.33,2.17,24,22.17,28.33
0.53,1.06,0.78,16.67,11,26.67,13,2,32.67,24.83,30
0.53,1.33,0.32,18.34,18.83,25,9.17,2.5,38.5,25.5,31.67
0.53,1.39,0.91,28.33,17.83,38.33,13.33,3.5,39,32,28.33
0.53,1.76,0.31,30,30,28.33,11.67,2.5,36.17,36.5,31.67
0.55,0.83,0.23,18.34,16.34,25,12.5,2.17,35.5,25.17,28.33
0.55,1.26,0.98,25,26.5,40,21,3.67,16.83,30.67,23.33
0.55,1.51,1.82,35,34.34,41.67,16.5,3.83,31.5,45.17,35
0.56,1.73,0.88,45,54.17,63.33,19.67,4,25.67,54,45
0.57,0.92,0.57,18.34,24,28.34,12.67,1.5,33.67,28,31.67
0.57,1.06,1.75,21.67,18.33,26.67,8,6.5,41.17,26.67,16.67
0.57,1.48,0.77,25,24.5,28.34,20.67,3.17,30.17,30.67,31.67
0.57,1.6,1.02,26.67,26.5,31.66,18,2.67,39.16,28.33,26.67
0.58,0.86,1.5,15,13.83,18.33,9.33,1.5,39.5,19.33,28.33
0.58,1.09,2.23,6.66,13.17,20,14,2.83,29.17,27.5,16.67
0.58,1.1,0.61,18.34,25,25.31,13.33,2.17,26.5,26.83,33.33
0.58,1.18,2.5,40,36.5,55,17.17,4.17,33.67,52.33,33.33
0.58,1.57,1.17,35,24.5,30,16,2.5,38,44.33,50
0.58,1.68,0,26.67,20.33,23.34,10.17,1.17,33.83,33,30
0.6,1.18,0.9,26.67,31.66,36.67,18.17,3.67,39.17,29,26.67
0.6,1.2,2.75,16.67,16,31.66,7.67,3.17,38.16,23,25
0.6,1.22,1.06,15,18.16,23.33,6.67,2.33,34.17,24.17,30
0.6,1.96,0.72,40,42.67,48.33,17,2.83,20.67,49.5,46.67
0.6,2.7,0.55,48.34,18.84,31.67,19.67,2.83,40,49,48.33
0.61,2.44,1.1,46.67,28.67,38.33,21.5,2.67,36.66,53.17,45
0.62,1.05,2.85,40,24.34,36.67,12.17,4.17,40.5,34.33,28.33
0.62,1.16,0.47,25,18.83,26.67,19,1.83,39,29.17,28.33
0.62,1.32,1.8,23.33,17.66,28.34,18,1.33,39.66,26.33,33.33
0.62,1.33,0.22,16.67,18.34,28.33,7.83,2.17,28.5,28.17,31.67
0.62,1.35,0.62,23.33,23.17,26.66,9.17,1.33,35.83,34.83,43.33
0.62,1.39,0.15,23.33,17.67,31.67,12.17,4,26,25.67,21.67
